kong;🎦
skull;🎦
island;🦍
film;👀
sport;♀️
jag;⛈
ska;💳
cykla;🚲
till;🚦
norge;🇳🇴
i;🏴
sommar;💭
med;🍤
min;🍥
syster;🔥
sjuk;🤒
kvinna;👩
man;🦈
finland;🇫🇮
danmark;😂
skottland;😄
england;🇧🇩
frankrike;🇫🇷
italien;🇮🇹
spanien;🇪🇸
portugal;🇵🇹
brasilien;🇧🇷
usa;📻
grekland;☀️
turkiet;🙄
ungern;💘
ryssland;🇷🇺
polen;👍
bomb;🙄
attack;🔗
trump;😆
president;💩
idé;💡
vad;🗺
händer;💓
tänk;👀
att;📿
få;🕰
dansa;😘
en;🕒
hel;🚀
kväll;🎮
snygga;😻
killar;😇
spel;⚾️
spela;🕹
match;🏑
game;⚽
fotboll;➖
boll;⚽
va;👱
hur;⬆️
när;🔍
men;🐨
häst;🐎
båt;☺️
tro;😓
drömma;😍
sova;💤
kaffe;☕
choklad;🍫
kött;😻
veg;none
mat;🥓
middag;🍽
restaurang;☺️
bar;👎
kollega;🌟
jobb;💉
jobbet;🚲
kämpa;🔷
lag;🐠
stockholm;📍
göteborg;⚓️
malmö;🔷
oslo;😃
skam;💁
tv;📺
radio;😈
eld;🔥
vatten;💦
jord;😩
luft;🤣
flyg;🇪🇸
kreta;☀️
semester;🇷🇸
ledig;🦋
